Order ID,First Name,Last Name,Gender,City,Order Date,Order Time,Order Type,Category,Subcategory,Price,Quantity,Total Price,Customer Review,Weather,Payment Method
33,Sophia,Jones,Female,Blackpool,2023-02-14,14:34,Eat-in,Nigiri,Salmon,3.68,5,18.4,Poor,Sunny,Debit Card
34,Alexander,Wilson,Female,Bolton,2022-07-28,17:53,Eat-in,Ramen,Curry Ramen,10.8,2,21.6,Excellent,Sunny,Credit Card
35,James,Lopez,Female,Bury,2023-08-30,13:39,Eat-in,Temaki,Crab Stick,5.65,1,5.65,Good,Sunny,Credit Card
36,Olivia,Martinez,Female,Burnley,2022-06-25,17:17,Takeaway,Temaki,California Roll,3.33,1,3.33,Good,Sunny,Mobile Payment
37,Amelia,Williams,Male,Manchester,2020-01-31,13:53,Eat-in,Sashimi,Salmon Sashimi,4.89,1,4.89,Excellent,Sunny,Debit Card
38,Oliver,Garcia,Female,Preston,2023-03-31,13:37,Eat-in,Maki,California Roll,6.13,4,24.52,Excellent,Windy,Cash
39,Amelia,Brown,Female,Barrow-in-Furness,2024-10-26,12:36,Takeaway,Maki,California Roll,5.15,1,5.15,Excellent,Sunny,Debit Card
40,Lucas,Brown,Female,Bolton,2023-08-23,13:11,Eat-in,Ramen,Tonkotsu Ramen,10.85,5,54.25,Good,Sunny,Debit Card
41,Alexander,Martinez,Female,Burnley,2023-02-09,17:15,Takeaway,Street food,Korokke,2.83,1,2.83,Excellent,Sunny,Credit Card
42,Oliver,Martinez,Female,Salford,2023-05-18,11:12,Eat-in,Ramen,Spicy Miso Ramen,9.33,2,18.66,Good,Windy,Credit Card
43,Emma,Williams,Female,Bury,2023-05-22,15:30,Eat-in,Maki,Uramaki,5.48,3,16.44,Excellent,Sunny,Credit Card
44,Amelia,Brown,Female,Bolton,2021-09-25,15:12,Eat-in,Temaki,California Roll,5.36,5,26.8,Excellent,Rainy,Debit Card
45,Evelyn,Davis,Female,Barrow-in-Furness,2020-09-05,13:03,Eat-in,Ramen,Cold Ramen,9.83,4,39.32,Excellent,Sunny,Credit Card
46,Lucas,Thomas,Female,Lancaster,2022-08-04,16:25,Eat-in,Street food,Korokke,1.69,2,3.38,Good,Rainy,Cash
47,Amelia,Brown,Female,Bury,2023-10-08,16:24,Eat-in,Temaki,California Roll,5.35,4,21.4,Excellent,Windy,Debit Card
48,Isabella,Miller,Female,Barrow-in-Furness,2023-03-08,13:04,Eat-in,Temaki,Eel Cucumber,5.38,3,16.14,Excellent,Sunny,Credit Card
49,Elijah,Williams,Female,Barrow-in-Furness,2023-11-19,15:59,Eat-in,Nigiri,Yellowtail,4.59,3,13.77,Good,Sunny,Cash
50,Evelyn,Lee,Female,Salford,2024-08-04,14:19,Eat-in,Maki,California Roll,4.48,1,4.48,Excellent,Rainy,Debit Card
51,Henry,Martinez,Female,Burnley,2024-10-19,18:48,Eat-in,Maki,California Roll,5.55,2,11.1,Excellent,Windy,Mobile Payment
52,Mia,Martin,Female,Oldham,2024-08-12,14:20,Eat-in,Sashimi,Octopus,5.77,3,17.31,Good,Sunny,Debit Card
53,Olivia,Thomas,Female,Barrow-in-Furness,2022-07-28,14:00,Eat-in,Street food,Gyoza,1.69,5,8.45,Excellent,Windy,Debit Card
54,Olivia,Miller,Female,Blackpool,2024-08-29,15:07,Eat-in,Ramen,Seafood Ramen,7.44,2,14.88,Excellent,Sunny,Credit Card
55,Amelia,Brown,Female,Preston,2023-03-16,17:18,Eat-in,Maki,Uramaki,4.43,4,17.72,Excellent,Sunny,Credit Card
56,Henry,Moore,Female,Blackpool,2024-05-25,16:26,Eat-in,Street food,Karaage,1.51,3,4.53,Good,Sunny,Debit Card
57,Sophia,Thomas,Female,Bolton,2022-09-13,14:20,Takeaway,Ramen,Tonkotsu Ramen,8.3,4,33.2,Excellent,Windy,Debit Card
58,James,Wilson,Male,Manchester,2024-08-31,11:32,Takeaway,Maki,Tempura Roll,6.0,4,24.0,Excellent,Rainy,Cash
59,Sophia,Anderson,Male,Blackpool,2020-05-11,15:25,Eat-in,Maki,Tempura Roll,5.94,4,23.76,Poor,Windy,Debit Card
60,Lucas,Jackson,Female,Preston,2021-11-30,13:14,Eat-in,Temaki,Tuna Avocado,6.04,1,6.04,Excellent,Windy,Mobile Payment
61,Olivia,Lopez,Male,Barrow-in-Furness,2022-07-05,13:26,Eat-in,Sashimi,Salmon Sashimi,3.32,4,13.28,Good,Sunny,Mobile Payment
62,Sophia,Davis,Female,Barrow-in-Furness,2022-11-01,17:29,Takeaway,Ramen,Vegetarian Ramen,6.44,3,19.32,Poor,Sunny,Mobile Payment
63,Harper,Thomas,Male,Burnley,2024-08-04,13:36,Eat-in,Maki,Cucumber Roll,3.68,4,14.72,Excellent,Sunny,Debit Card
64,Olivia,Lee,Female,Barrow-in-Furness,2023-04-20,16:14,Eat-in,Street food,Karaage,4.14,2,8.28,Good,Rainy,Debit Card
65,Evelyn,Thomas,Female,Bolton,2023-02-10,14:26,Eat-in,Sashimi,Squid Sashimi,6.51,3,19.53,Excellent,Rainy,Debit Card
66,Harper,Taylor,Male,Barrow-in-Furness,2023-06-26,12:04,Eat-in,Sashimi,Crab Sashimi,5.9,4,23.6,Poor,Rainy,Credit Card
67,James,Smith,Female,Preston,2022-11-24,15:37,Eat-in,Ramen,Cold Ramen,6.65,2,13.3,Excellent,Windy,Mobile Payment
68,Jack,Lee,Female,Preston,2023-08-30,15:41,Eat-in,Sashimi,Tuna Sashimi,3.15,4,12.6,Excellent,Sunny,Credit Card
69,James,Thomas,Female,Rochdale,2022-12-24,13:26,Eat-in,Temaki,Shrimp Tempura,6.76,3,20.28,Excellent,Sunny,Credit Card
70,Amelia,Gonzalez,Female,Manchester,2022-11-12,11:17,Eat-in,Nigiri,Sweet Egg,5.3,1,5.3,Good,Windy,Credit Card
71,Emma,Johnson,Male,Burnley,2024-10-07,12:48,Eat-in,Street food,Karaage,4.54,3,13.62,Good,Windy,Credit Card
72,Harper,Jones,Male,Rochdale,2022-03-04,15:01,Eat-in,Maki,Spicy Tuna Roll,3.45,3,10.35,Excellent,Sunny,Cash
73,Benjamin,Moore,Female,Preston,2022-06-17,15:28,Eat-in,Street food,Takoyaki,4.24,5,21.2,Excellent,Windy,Cash
74,Lucas,Wilson,Female,Preston,2022-08-03,17:20,Eat-in,Nigiri,Tuna,4.5,5,22.5,Excellent,Sunny,Mobile Payment
75,Mason,Hernandez,Female,Salford,2022-12-04,16:41,Takeaway,Street food,Yakitori,2.25,4,9.0,Good,Sunny,Debit Card
76,James,Anderson,Female,Bolton,2022-11-09,14:09,Eat-in,Temaki,Spicy Tuna,6.33,1,6.33,Excellent,Windy,Credit Card
77,Sophia,Jackson,Female,Rochdale,2023-11-04,14:55,Eat-in,Temaki,Spicy Salmon,5.88,3,17.64,Good,Sunny,Credit Card
78,Charlotte,Jones,Female,Burnley,2023-06-28,14:07,Takeaway,Street food,Karaage,3.0,5,15.0,Poor,Rainy,Debit Card
79,Ethan,Smith,Female,Manchester,2023-05-01,13:44,Takeaway,Maki,Uramaki,3.23,2,6.46,Excellent,Sunny,Cash
80,Emma,Williams,Female,Burnley,2022-08-11,13:19,Eat-in,Street food,Okonomiyaki,4.59,2,9.18,Excellent,Windy,Debit Card
81,Harper,Thomas,Female,Oldham,2023-07-09,13:32,Eat-in,Temaki,Spicy Tuna,5.71,5,28.55,Excellent,Windy,Cash
82,James,Lee,Female,Burnley,2022-04-25,13:16,Eat-in,Nigiri,Tuna,4.99,2,9.98,Excellent,Sunny,Credit Card
83,Ethan,Gonzalez,Female,Lancaster,2022-08-30,12:20,Eat-in,Street food,Gyoza,3.74,3,11.22,Excellent,Sunny,Credit Card
84,Henry,Thomas,Male,Bolton,2020-02-08,14:25,Eat-in,Temaki,Spicy Salmon,5.98,2,11.96,Excellent,Sunny,Credit Card
85,Isabella,Moore,Female,Bolton,2022-11-27,13:06,Eat-in,Sashimi,Salmon Sashimi,3.61,1,3.61,Excellent,Windy,Credit Card
86,Alexander,Martin,Female,Salford,2023-10-11,16:40,Eat-in,Temaki,Spicy Tuna,4.77,3,14.31,Good,Sunny,Credit Card
87,Ava,Hernandez,Female,Lancaster,2020-05-03,15:54,Eat-in,Street food,Okonomiyaki,3.12,5,15.6,Poor,Windy,Cash
88,Alexander,Miller,Female,Oldham,2022-01-15,12:57,Takeaway,Ramen,Shoyu Ramen,9.88,1,9.88,Excellent,Sunny,Credit Card
89,Mason,Lee,Female,Bolton,2024-07-14,16:43,Eat-in,Ramen,Seafood Ramen,6.4,1,6.4,Excellent,Sunny,Credit Card
90,Henry,Jones,Female,Salford,2023-06-10,18:44,Eat-in,Sashimi,Mackerel Sashimi,6.75,3,20.25,Excellent,Windy,Credit Card
91,Sophia,Moore,Female,Manchester,2022-06-01,14:11,Takeaway,Maki,Philadelphia Roll,4.45,2,8.9,Poor,Sunny,Credit Card
92,Isabella,Moore,Female,Rochdale,2020-06-29,16:08,Eat-in,Sashimi,Salmon Sashimi,6.33,5,31.65,Good,Sunny,Credit Card
93,Benjamin,Gonzalez,Female,Burnley,2024-10-10,16:50,Eat-in,Street food,Karaage,4.88,4,19.52,Poor,Sunny,Debit Card
94,Alexander,Thomas,Female,Barrow-in-Furness,2023-09-17,14:10,Takeaway,Street food,Takoyaki,2.38,4,9.52,Good,Sunny,Cash
95,Mason,Brown,Female,Blackpool,2022-09-05,16:05,Takeaway,Sashimi,Squid Sashimi,6.54,1,6.54,Excellent,Sunny,Credit Card
96,James,Williams,Female,Lancaster,2022-02-27,15:21,Takeaway,Sashimi,Tuna Sashimi,6.67,4,26.68,Good,Sunny,Debit Card
97,Elijah,Lee,Female,Preston,2020-04-27,13:46,Eat-in,Temaki,Spicy Tuna,4.15,3,12.45,Excellent,Sunny,Debit Card
98,Henry,Thomas,Female,Oldham,2023-01-21,14:15,Eat-in,Maki,Uramaki,4.96,2,9.92,Excellent,Sunny,Debit Card
99,Mason,Gonzalez,Female,Rochdale,2022-09-18,11:55,Eat-in,Ramen,Shio Ramen,8.24,1,8.24,Excellent,Sunny,Credit Card
100,Isabella,Martin,Female,Bolton,2021-06-18,14:41,Eat-in,Ramen,Spicy Miso Ramen,10.17,2,20.34,Good,Sunny,Debit Card
101,Elijah,Johnson,Female,Lancaster,2023-01-11,17:32,Eat-in,Street food,Gyoza,1.63,2,3.26,Excellent,Rainy,Cash
102,Jack,Martinez,Female,Bolton,2022-07-24,14:24,Eat-in,Sashimi,Yellowtail Sashimi,4.99,5,24.95,Excellent,Sunny,Credit Card
103,Benjamin,Lee,Male,Blackpool,2022-06-04,12:42,Eat-in,Temaki,Shrimp Tempura,4.7,4,18.8,Excellent,Sunny,Debit Card
104,Oliver,Lee,Male,Barrow-in-Furness,2023-01-03,15:25,Eat-in,Ramen,Curry Ramen,11.72,2,23.44,Good,Windy,Credit Card
105,Sophia,Williams,Female,Manchester,2022-07-31,15:38,Eat-in,Temaki,Yellowtail Scallion,4.49,1,4.49,Excellent,Sunny,Credit Card
106,Harper,Davis,Male,Lancaster,2023-08-17,14:35,Eat-in,Maki,Spicy Tuna Roll,3.36,5,16.8,Excellent,Rainy,Credit Card
107,Isabella,Jones,Male,Oldham,2021-12-15,18:51,Eat-in,Maki,Dragon Roll,5.34,5,26.7,Excellent,Rainy,Debit Card
108,Mia,Gonzalez,Female,Preston,2024-03-08,16:01,Eat-in,Street food,Edamame,4.31,5,21.55,Excellent,Rainy,Cash
109,James,Taylor,Female,Bury,2023-02-05,18:41,Eat-in,Temaki,Shrimp Tempura,4.38,5,21.9,Good,Sunny,Mobile Payment
110,Benjamin,Moore,Male,Lancaster,2023-09-05,13:10,Eat-in,Ramen,Tonkotsu Ramen,11.68,5,58.4,Good,Rainy,Credit Card
111,Ethan,Martinez,Female,Barrow-in-Furness,2023-02-17,15:37,Takeaway,Sashimi,Salmon Sashimi,5.5,5,27.5,Excellent,Rainy,Cash
112,Emma,Williams,Female,Manchester,2023-05-21,13:36,Eat-in,Ramen,Shoyu Ramen,11.33,5,56.65,Excellent,Rainy,Credit Card
113,James,Hernandez,Female,Lancaster,2021-07-16,14:21,Eat-in,Maki,Tempura Roll,3.78,3,11.34,Poor,Sunny,Credit Card
114,Ethan,Brown,Female,Oldham,2021-08-08,13:03,Eat-in,Temaki,Spicy Salmon,4.67,2,9.34,Good,Rainy,Debit Card
115,Charlotte,Garcia,Female,Rochdale,2022-05-16,11:25,Eat-in,Sashimi,Salmon Sashimi,4.41,1,4.41,Excellent,Sunny,Debit Card
116,Lucas,Hernandez,Female,Preston,2022-05-24,14:25,Eat-in,Temaki,Spicy Tuna,5.25,3,15.75,Excellent,Sunny,Credit Card
117,Ethan,Martinez,Male,Salford,2023-02-05,18:25,Eat-in,Maki,California Roll,3.96,2,7.92,Excellent,Sunny,Credit Card
118,Olivia,Johnson,Female,Bolton,2023-09-15,13:57,Eat-in,Maki,Philadelphia Roll,3.77,4,15.08,Poor,Windy,Credit Card
119,Jack,Moore,Male,Rochdale,2022-10-10,14:01,Eat-in,Ramen,Miso Ramen,8.5,3,25.5,Good,Windy,Debit Card
120,Emma,Lee,Female,Manchester,2023-10-19,13:03,Eat-in,Sashimi,Mackerel Sashimi,5.88,4,23.52,Excellent,Windy,Cash
121,Isabella,Miller,Female,Bolton,2022-07-23,13:32,Takeaway,Temaki,Spicy Salmon,5.94,1,5.94,Good,Sunny,Credit Card
122,Lucas,Moore,Female,Blackpool,2022-09-11,14:43,Takeaway,Ramen,Curry Ramen,10.82,3,32.46,Good,Sunny,Credit Card
123,Ethan,Hernandez,Female,Barrow-in-Furness,2023-12-07,15:31,Eat-in,Maki,California Roll,6.24,3,18.72,Excellent,Sunny,Credit Card
124,James,Gonzalez,Male,Blackpool,2022-05-31,15:22,Takeaway,Ramen,Tonkotsu Ramen,8.87,2,17.74,Good,Sunny,Credit Card
125,Harper,Jones,Female,Salford,2021-01-22,17:14,Eat-in,Nigiri,Tuna,3.32,4,13.28,Excellent,Windy,Cash
126,Ethan,Garcia,Female,Oldham,2022-04-25,18:20,Eat-in,Nigiri,Sea Urchin,2.36,5,11.8,Excellent,Windy,Debit Card
127,Olivia,Garcia,Female,Blackpool,2024-01-27,14:31,Eat-in,Ramen,Vegetable Ramen,11.56,1,11.56,Excellent,Sunny,Cash
128,Jack,Hernandez,Female,Manchester,2022-08-29,18:54,Eat-in,Maki,Hoso Maki,2.95,2,5.9,Good,Windy,Debit Card
129,Emma,Lopez,Male,Salford,2023-04-06,15:40,Takeaway,Temaki,Crab Stick,3.35,1,3.35,Excellent,Sunny,Credit Card
130,Amelia,Smith,Female,Burnley,2022-05-31,14:37,Eat-in,Nigiri,Salmon,3.44,2,6.88,Excellent,Sunny,Credit Card
131,James,Moore,Male,Barrow-in-Furness,2023-11-30,18:23,Eat-in,Sashimi,Smelt Roe,4.91,4,19.64,Good,Windy,Credit Card
132,Ethan,Taylor,Female,Manchester,2023-04-22,16:55,Takeaway,Street food,Gyoza,3.96,1,3.96,Poor,Sunny,Debit Card
133,Mason,Miller,Female,Blackpool,2021-09-15,12:13,Eat-in,Temaki,Spicy Tuna,5.04,1,5.04,Excellent,Sunny,Credit Card
134,Olivia,Jackson,Female,Barrow-in-Furness,2023-07-09,16:47,Eat-in,Nigiri,Tuna,3.38,1,3.38,Excellent,Sunny,Debit Card
135,Lucas,Johnson,Female,Blackpool,2023-11-24,15:26,Eat-in,Temaki,Eel Cucumber,6.67,4,26.68,Excellent,Windy,Debit Card
136,Ethan,Jones,Female,Bolton,2021-09-13,14:46,Takeaway,Nigiri,Scallop,5.91,4,23.64,Good,Sunny,Credit Card
137,Amelia,Davis,Female,Blackpool,2022-12-25,12:51,Eat-in,Street food,Yakitori,4.59,1,4.59,Excellent,Sunny,Credit Card
138,Elijah,Lee,Female,Lancaster,2021-01-13,14:34,Eat-in,Nigiri,Tuna,5.97,2,11.94,Good,Windy,Credit Card
139,Henry,Lopez,Female,Blackpool,2024-09-08,14:17,Eat-in,Street food,Onigiri,4.69,4,18.76,Excellent,Sunny,Credit Card
140,James,Moore,Female,Bury,2022-05-13,13:34,Eat-in,Sashimi,Octopus,5.83,4,23.32,Poor,Sunny,Mobile Payment
141,Ethan,Moore,Female,Burnley,2022-06-21,12:28,Takeaway,Nigiri,Yellowtail,5.32,1,5.32,Excellent,Windy,Debit Card
142,Ava,Miller,Male,Salford,2023-09-07,14:55,Takeaway,Maki,Cucumber Roll,2.56,2,5.12,Poor,Sunny,Mobile Payment
143,Lucas,Davis,Female,Burnley,2022-04-18,14:18,Eat-in,Street food,Korokke,2.58,3,7.74,Excellent,Sunny,Cash
144,Lucas,Lopez,Male,Bolton,2022-01-19,16:47,Eat-in,Maki,California Roll,4.84,4,19.36,Excellent,Sunny,Credit Card
145,Alexander,Davis,Female,Manchester,2024-06-09,16:31,Takeaway,Ramen,Curry Ramen,8.76,3,26.28,Excellent,Windy,Credit Card
146,Ethan,Johnson,Female,Preston,2024-11-02,16:26,Eat-in,Ramen,Tonkotsu Ramen,10.24,1,10.24,Excellent,Sunny,Cash
147,Henry,Taylor,Female,Lancaster,2020-09-14,11:33,Eat-in,Street food,Chawanmushi,1.56,4,6.24,Good,Rainy,Cash
148,Isabella,Moore,Female,Burnley,2023-05-27,14:50,Eat-in,Maki,Cucumber Roll,4.34,2,8.68,Poor,Sunny,Debit Card
149,Ava,Johnson,Female,Bury,2022-08-02,15:44,Eat-in,Temaki,Spicy Salmon,5.58,3,16.74,Excellent,Rainy,Cash
150,Mason,Johnson,Female,Salford,2022-01-30,12:59,Eat-in,Street food,Okonomiyaki,1.62,3,4.86,Excellent,Sunny,Cash
151,James,Williams,Female,Salford,2021-07-22,17:21,Eat-in,Ramen,Miso Ramen,11.93,1,11.93,Excellent,Rainy,Cash
152,Benjamin,Davis,Male,Bolton,2023-10-31,15:49,Eat-in,Ramen,Tonkotsu Ramen,11.96,4,47.84,Excellent,Sunny,Credit Card
153,Mia,Martin,Female,Preston,2023-05-26,13:04,Eat-in,Sashimi,Octopus,6.14,2,12.28,Good,Sunny,Cash
154,Emma,Hernandez,Female,Barrow-in-Furness,2021-02-06,14:35,Eat-in,Temaki,Spicy Tuna,3.36,5,16.8,Excellent,Sunny,Credit Card
155,James,Smith,Female,Bury,2023-12-29,14:15,Eat-in,Sashimi,Sea Urchin Sashimi,3.68,3,11.04,Excellent,Sunny,Cash
156,Benjamin,Martinez,Female,Oldham,2023-06-09,18:46,Eat-in,Street food,Korokke,3.1,2,6.2,Excellent,Rainy,Credit Card
157,Henry,Wilson,Male,Bolton,2022-07-27,16:41,Takeaway,Sashimi,Octopus,5.41,2,10.82,Excellent,Sunny,Credit Card
158,Jack,Hernandez,Female,Manchester,2022-10-26,13:24,Eat-in,Temaki,Salmon Avocado,6.73,2,13.46,Excellent,Sunny,Debit Card
159,Ethan,Smith,Male,Oldham,2024-04-15,16:53,Eat-in,Temaki,Shrimp Tempura,3.56,3,10.68,Excellent,Windy,Debit Card
160,James,Williams,Female,Salford,2022-07-18,14:58,Takeaway,Temaki,Crab Stick,6.16,3,18.48,Good,Rainy,Credit Card
161,Ava,Brown,Female,Manchester,2023-03-21,15:36,Takeaway,Ramen,Seafood Ramen,11.8,3,35.4,Poor,Sunny,Cash
162,Harper,Davis,Female,Rochdale,2023-12-19,13:23,Eat-in,Ramen,Seafood Ramen,9.0,3,27.0,Poor,Sunny,Credit Card
163,Ava,Brown,Male,Blackpool,2022-06-15,16:33,Eat-in,Temaki,Spicy Tuna,5.89,4,23.56,Excellent,Sunny,Debit Card
164,Isabella,Smith,Male,Manchester,2021-03-30,18:15,Eat-in,Street food,Karaage,3.46,4,13.84,Excellent,Sunny,Cash
165,Benjamin,Wilson,Female,Salford,2024-08-19,14:00,Eat-in,Sashimi,Salmon Sashimi,5.82,1,5.82,Excellent,Windy,Credit Card
166,Oliver,Lopez,Female,Preston,2022-08-17,18:20,Eat-in,Street food,Edamame,1.9,3,5.7,Good,Windy,Debit Card
167,Evelyn,Lee,Female,Manchester,2021-02-08,13:11,Eat-in,Sashimi,Mackerel Sashimi,4.67,2,9.34,Excellent,Sunny,Credit Card
168,Ethan,Garcia,Female,Oldham,2022-03-11,16:39,Eat-in,Maki,Cucumber Roll,4.44,2,8.88,Good,Rainy,Credit Card
169,Lucas,Anderson,Female,Bury,2023-08-16,13:36,Eat-in,Sashimi,Salmon Sashimi,4.1,5,20.5,Excellent,Windy,Credit Card
170,Lucas,Jackson,Female,Salford,2021-09-27,18:34,Takeaway,Nigiri,Scallop,3.77,2,7.54,Poor,Sunny,Debit Card
171,Amelia,Hernandez,Male,Lancaster,2022-06-28,16:28,Takeaway,Nigiri,Scallop,2.95,5,14.75,Good,Rainy,Debit Card
172,Benjamin,Garcia,Female,Burnley,2023-01-19,14:17,Eat-in,Sashimi,Octopus,5.82,3,17.46,Excellent,Rainy,Credit Card
173,Isabella,Jones,Male,Bury,2024-05-28,15:44,Takeaway,Sashimi,Tuna Sashimi,4.29,2,8.58,Good,Windy,Credit Card
174,Alexander,Martinez,Female,Bury,2022-11-26,17:05,Eat-in,Ramen,Tonkotsu Ramen,11.62,3,34.86,Excellent,Sunny,Credit Card
175,Ava,Thomas,Female,Bolton,2024-09-13,13:27,Takeaway,Temaki,California Roll,6.31,3,18.93,Excellent,Sunny,Debit Card
176,Jack,Johnson,Female,Manchester,2023-08-01,12:54,Eat-in,Temaki,Spicy Tuna,6.83,2,13.66,Poor,Rainy,Debit Card
177,Evelyn,Garcia,Male,Barrow-in-Furness,2020-06-09,12:42,Takeaway,Sashimi,Tuna Sashimi,5.5,2,11.0,Excellent,Sunny,Cash
178,Charlotte,Taylor,Female,Salford,2021-11-15,11:44,Eat-in,Nigiri,Sweet Egg,3.69,2,7.38,Excellent,Sunny,Cash
179,Isabella,Brown,Female,Barrow-in-Furness,2021-03-21,18:09,Eat-in,Street food,Takoyaki,3.78,4,15.12,Excellent,Sunny,Debit Card
180,Benjamin,Lee,Female,Burnley,2020-02-05,16:37,Eat-in,Maki,Cucumber Roll,3.76,2,7.52,Excellent,Windy,Credit Card
181,Henry,Lee,Female,Barrow-in-Furness,2023-12-01,16:42,Takeaway,Sashimi,Mackerel Sashimi,5.04,4,20.16,Excellent,Sunny,Debit Card
182,Amelia,Taylor,Female,Burnley,2022-10-03,14:00,Takeaway,Maki,Hoso Maki,5.94,5,29.7,Excellent,Sunny,Cash
183,Lucas,Williams,Female,Preston,2020-04-02,17:50,Eat-in,Maki,Dragon Roll,4.5,4,18.0,Excellent,Sunny,Debit Card
184,Ethan,Lee,Female,Preston,2022-09-30,13:51,Eat-in,Maki,Uramaki,5.04,1,5.04,Excellent,Sunny,Mobile Payment
185,Amelia,Johnson,Female,Bury,2021-10-20,11:42,Eat-in,Ramen,Miso Ramen,6.08,2,12.16,Good,Sunny,Mobile Payment
